DATE,UPI APP,VOL(Million),VOL(Cr),Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,
31/07/2023,Fino Payments bank Apps,0.17,13.36,0,0,0,0,,,0.17,13.36,
31/07/2023,HSBC Bank Apps,0.16,96.44,0,0.08,0,0,,,0.16,96.52,
31/07/2023,Fave,0.12,7.56,0,0,0,0,,,0.12,7.56,
31/07/2023,Bajaj Finserv PPI,0.11,25.8,0,0,0,0,,,0.11,25.8,
31/07/2023,TataNeu,0.1,16.7,0,0,0,0,,,0.1,16.7,
31/07/2023,Tamilnad Mercantile Bank Apps,0.1,23.5,0,0,0,0,,,0.1,23.5,
31/07/2023,IDBI Bank Apps,0.07,37.4,0,0,0,0,,,0.07,37.4,
31/08/2023,PhonePe,4987.33,775265.57,0,0,0,0,0,0,4987.33,775265.57,
31/08/2023,Google Pay,3767.68,538113.42,0,0,0,0,0,0,3767.68,538113.42,
31/08/2023,Paytm Payments Bank App,1363.05,153577.58,1.86,5.06,0.59,939,119.32,22282.87,1484.82,176804.51,
31/08/2023,Cred,85.13,31926.2,0,0,0,0,0,0,85.13,31926.2,
31/08/2023,Axis Bank Apps,9.37,1753.27,60,1275.96,0.05,7.88,0,0,69.43,3037.11,
31/08/2023,Amazon Pay,54.02,5836.99,0,0,0,0,0,0,54.02,5836.99,
31/08/2023,ICICI Bank Apps,25.85,9721.96,4.29,333.25,8.42,10943.9,0,0,38.57,20999.12,
31/08/2023,Yes Bank Apps,28.51,11154.68,0,0,0.44,100.09,0,0,28.94,11254.77,
31/08/2023,BHIM,24.61,7793.58,0,0,0,0,0,0,24.61,7793.58,
31/08/2023,Kotak Mahindra Bank Apps,21.16,3675.16,0,0,0.01,2.88,0,0,21.17,3678.04,
31/08/2023,FAM,20.27,235.89,0,0,0,0,0,0,20.27,235.89,
31/08/2023,WhatsApp,19.7,1677.53,0,0,0,0,0,0,19.7,1677.53,
31/08/2023,HDFC Bank Apps,18.94,4671.76,0,0,0,0,0,0,18.94,4671.76,
31/08/2023,Bajaj Finserv,13.22,1995.11,0,0,0,0,0,0,13.22,1995.11,
31/08/2023,Airtel Payments Bank Apps,10.2,699.21,0,0,0,0,0,0.06,10.2,699.27,
31/08/2023,Samsung Pay,6,538.48,0,0,0,0,0,0,6,538.48,
31/08/2023,Federal Bank Apps,5.7,700.65,0,0,0,0.01,0,0,5.7,700.66,
31/08/2023,India Post Payments Bank Apps,5.56,498.37,0,0,0,0,0,0,5.56,498.37,
31/08/2023,State Bank of India Apps,5.36,2104.14,0,0,0.02,0.67,0,0,5.39,2104.81,
31/08/2023,Groww,4.74,2911.09,0,0,0,0,0,0,4.74,2911.09,
31/08/2023,IDFC Bank Apps,4.36,1107.81,0,0,0,0,0,0,4.36,1107.81,
31/08/2023,Mobikwik,3.96,1203.54,0,0,0,0,0,0,3.96,1203.54,
31/08/2023,Jupiter,3.94,500.95,0,0,0,0,0,0,3.94,500.95,
31/08/2023,Standard Chartered Bank Apps,3.31,369.55,0,0,0.28,144.89,0,0,3.59,514.44,
31/08/2023,Deutsche Bank Apps,2.08,359.84,0,0,0,0.01,0,0,2.08,359.86,
31/08/2023,Canara Bank Apps,1.64,492.29,0,0,0,0,0,0,1.64,492.29,
31/08/2023,Jio Payments Bank Apps,1.42,113.65,0,0,0,0,0,0,1.42,113.65,
31/08/2023,RBL Bank Apps,1.2,540.67,0,0.02,0.19,7.62,0,0,1.38,548.31,
31/08/2023,Bank of Baroda Apps,1.27,462.61,0,0,0,4.23,0,0,1.27,466.84,
31/08/2023,slice,0.96,306.89,0,0,0,0,0,0,0.96,306.89,
31/08/2023,Union Bank Apps,0.9,324.77,0,0,0,0,0,0,0.9,324.77,
31/08/2023,Punjab National Bank Apps,0.86,179.75,0,0,0,0,0,0,0.86,179.75,
31/08/2023,IndusInd Bank Apps,0.85,391.31,0,0,0,0,0,0,0.85,391.31,
31/08/2023,OMNI,0.77,25.2,0,0,0,0,0,0,0.77,25.2,
31/08/2023,AU Small Finance Bank Apps,0.71,218.16,0,0,0,0,0,0,0.71,218.16,
31/08/2023,KIWI,0.69,69.86,0,0,0,0,0,0,0.69,69.86,
31/08/2023,Karnataka Bank Apps,0.65,127.83,0,0,0,0,0,0,0.65,127.83,
31/08/2023,DBS Digibank Apps,0.46,173.89,0,0,0,0.18,0,0,0.46,174.06,
31/08/2023,Central Bank of India Apps,0.45,96.12,0,0,0,0.29,0,0,0.45,96.41,
31/08/2023,UCO Bank Apps,0.38,132.77,0,0,0,0,0,0,0.38,132.77,
31/08/2023,Indian Bank Apps,0.33,88.52,0,0,0,3.17,0,0,0.33,91.69,
31/08/2023,Bank of India Apps,0.29,85.09,0,0,0,0,0,0,0.29,85.09,
31/08/2023,South Indian Bank Apps,0.28,77.42,0,0,0,0,0,0,0.28,77.42,
31/08/2023,Fino Payments bank Apps,0.21,15.43,0,0,0,0,0,0,0.21,15.43,
31/08/2023,HSBC Bank Apps,0.17,98.09,0,0.1,0,0,0,0,0.17,98.19,
31/08/2023,BPAYWALLET,0.15,32.07,0,0,0,0,0,0,0.15,32.07,
31/08/2023,Fave,0.12,7.54,0,0,0,0,0,0,0.12,7.54,
31/08/2023,TataNeu,0.1,16.09,0,0,0,0,0,0,0.1,16.09,
31/08/2023,Tamilnad Mercantile Bank Apps,0.1,25.45,0,0,0,0,0,0,0.1,25.45,
30/09/2023,PhonePe,"4,972.81","774,845.98",0,0,0,0,0,0,"4,972.81","774,845.98",
30/09/2023,Google Pay,"3,780.89","541,624.06",0,0,0,0,0,0,"3,780.89","541,624.06",
30/09/2023,Paytm Payments Bank App,"1,333.38","153,708.60",3.47,8.06,0.58,935.71,114.56,"22,213.09","1,451.99","176,865.46",
30/09/2023,Cred,86.5,"31,558.20",0,0,0,0,0,0,86.5,"31,558.20",
30/09/2023,Axis Bank Apps,8.93,"1,721.75",59.77,"1,856.50",0.06,6.66,0,0,68.76,"3,584.91",
30/09/2023,Amazon Pay,48.78,"5,386.29",0,0,0,0,0,0,48.78,"5,386.29",
30/09/2023,ICICI Bank Apps,25.9,"9,874.70",4.05,359.88,7.58,"9,818.34",0,0,37.52,"20,052.91",
30/09/2023,Yes Bank Apps,28.09,"10,794.85",0,0,0.41,53.11,0,0,28.49,"10,847.96",
30/09/2023,BHIM,24.15,"8,005.18",0,0,0,0,0,0,24.15,"8,005.18",
30/09/2023,FAM,22.88,263.37,0,0,0,0,0,0,22.88,263.37,
30/09/2023,Kotak Mahindra Bank Apps,21.57,"3,737.25",0,0,0,0.01,0,0,21.57,"3,737.26",
30/09/2023,WhatsApp,20.55,"1,732.15",0,0,0,0,0,0,20.55,"1,732.15",
30/09/2023,HDFC Bank Apps,18.87,"4,739.38",0,0,0,0,0,0,18.87,"4,739.39",
30/09/2023,Bajaj Finserv,14.14,"2,069.98",0,0,0,0,0,0,14.14,"2,069.98",
30/09/2023,Airtel Payments Bank Apps,10.45,747.05,0,0,0,0.04,0,0.12,10.46,747.21,
30/09/2023,Groww,6.5,"3,596.95",0,0,0,0,0,0,6.5,"3,596.95",
30/09/2023,Samsung Pay,5.81,528.2,0,0,0,0,0,0,5.81,528.2,
30/09/2023,Federal Bank Apps,5.54,692.03,0,0,0,0,0,0,5.54,692.03,
30/09/2023,State Bank of India Apps,5.4,"2,130.26",0,0,0.02,0.64,0,0,5.42,"2,130.89",
30/09/2023,India Post Payments Bank Apps,5.28,447.37,0,0,0,0,0,0,5.28,447.37,
30/09/2023,IDFC Bank Apps,4.42,"1,109.67",0,0,0,0,0,0,4.42,"1,109.67",
30/09/2023,Jupiter,4.05,529.64,0,0,0,0,0,0,4.05,529.64,
30/09/2023,Mobikwik,3.92,"1,182.65",0,0,0,0,0,0,3.92,"1,182.65",
30/09/2023,Standard Chartered Bank Apps,1.72,148.27,0,0,0.31,182.94,0,0,2.03,331.21,
30/09/2023,Deutsche Bank Apps,1.93,315.27,0,0,0,0.02,0,0,1.93,315.29,
30/09/2023,Canara Bank Apps,1.89,569.48,0,0,0,0,0,0,1.89,569.48,
30/09/2023,RBL Bank Apps,1.34,565.87,0,0,0.26,9.74,0,0,1.6,575.61,
30/09/2023,Jio Payments Bank Apps,1.44,108.84,0,0,0,0,0,0,1.44,108.84,
30/09/2023,Bank of Baroda Apps,1.22,470.91,0,0,0,5.52,0,0,1.22,476.43,
30/09/2023,slice,1.06,310.9,0,0,0,0,0,0,1.06,310.9,
30/09/2023,Punjab National Bank Apps,1,197.93,0,0,0,0,0,0,1,197.93,
30/09/2023,OMNI,0.98,36.12,0,0,0,0,0,0,0.98,36.12,
30/09/2023,IndusInd Bank Apps,0.89,182.26,0,0,0,0,0,0,0.89,182.26,
30/09/2023,Union Bank Apps,0.87,324.39,0,0,0,0,0,0,0.87,324.39,
30/09/2023,AU Small Finance Bank Apps,0.66,214.25,0,0,0,0,0,0,0.66,214.25,
30/09/2023,GOAXB,0.64,74.94,0,0,0,0,0,0,0.64,74.94,
30/09/2023,Karnataka Bank Apps,0.62,125.7,0,0,0,0,0,0,0.62,125.7,
30/09/2023,DBS Digibank Apps,0.45,178.89,0,0,0,0.53,0,0,0.45,179.42,
30/09/2023,Central Bank of India Apps,0.4,94.84,0,0,0,0.38,0,0,0.4,95.22,
30/09/2023,UCO Bank Apps,0.37,127.06,0,0,0,0,0,0,0.37,127.06,
30/09/2023,Indian Bank Apps,0.32,89.16,0,0,0.01,60.16,0,0,0.33,149.32,
30/09/2023,Bank of India Apps,0.28,86.17,0,0,0,0,0,0,0.28,86.17,
30/09/2023,NAVIAXIS,0.27,17.75,0,0,0,0,0,0,0.27,17.75,
30/09/2023,South Indian Bank Apps,0.26,72.9,0,0,0,0,0,0,0.26,72.9,
30/09/2023,Fino Payments bank Apps,0.22,15.99,0,0,0,0,0,0,0.22,15.99,
30/09/2023,BPAYWALLET,0.19,42.31,0,0,0,0,0,0,0.19,42.31,
30/09/2023,HSBC Bank Apps,0.16,101.08,0,0.12,0,0,0,0,0.16,101.2,
30/09/2023,Tamilnad Mercantile Bank Apps,0.1,26.99,0,0,0,0,0,0,0.1,26.99,
30/09/2023,TataNeu,0.09,14.82,0,0,0,0,0,0,0.09,14.82,
30/09/2023,Fave,0.09,6.34,0,0,0,0,0,0,0.09,6.34,
31/10/2023,Airtel Payments Bank Apps,11.32,778.26,0,0,0,0,0.31,32.39,11.62,810.65,
31/10/2023,Allahabad Bank Apps,0.03,7.3,0,0,0,0,-,-,0.03,7.3,
31/10/2023,Amazon Pay,54.39,"6,297.17",0,0,0,0,-,-,54.39,"6,297.17",
31/10/2023,AU Small Finance Bank Apps,0.71,235.99,0,0,0,0,-,-,0.71,235.99,
31/10/2023,Axis Bank Apps,12.1,"2,202.41",62.24,"2,721.47",0.08,7.63,-,-,74.42,"4,931.50",
31/10/2023,Bajaj Finserv,14.19,"2,373.17",0,0,0,0,-,-,14.19,"2,373.17",
31/10/2023,Bajaj Finserv PPI,0.23,48.79,0,0,0,0,-,-,0.23,48.79,
31/10/2023,Bank of Baroda Apps,0.93,393.21,0,0,0,4.28,-,-,0.93,397.49,
31/10/2023,Bank of India Apps,0.27,93.46,0,0,0,0,-,-,0.27,93.46,
31/10/2023,Bank of Maharashtra Apps,0.06,10.85,0,0,0,0,-,-,0.06,10.85,
31/10/2023,BHIM,25.74,"8,174.71",0,0,0,0,-,-,25.74,"8,174.71",
31/10/2023,Canara Bank Apps,2.21,665.24,0,0,0.01,0.19,-,-,2.22,665.43,
31/10/2023,Central Bank of India Apps,0.52,114.69,0,0,0,0.24,-,-,0.52,114.94,
31/10/2023,Citi Bank Apps,0.08,66.07,0,0,0,0,-,-,0.08,66.07,
31/10/2023,City Union Bank Apps,0.07,21.55,0,0,0,0,-,-,0.07,21.55,
31/10/2023,Cred,94.52,"34,691.49",0,0,0,0,-,-,94.52,"34,691.49",
31/10/2023,DBS Digibank Apps,0.5,197.14,0,0,0,0.56,-,-,0.51,197.7,
31/10/2023,Deutsche Bank Apps,2.37,350.45,0,0,0,0.02,-,-,2.37,350.47,
31/10/2023,Dhani PPI,0.02,1.49,0,0,0,0,-,-,0.02,1.49,
31/10/2023,Digikhata PPI,0.04,15.33,0,0,0,0,-,-,0.04,15.33,
31/10/2023,Equitas Small Finance Bank Apps,0.03,21.65,0,0,0,0,-,-,0.03,21.65,
31/10/2023,Fampay PPI,27.54,314.13,0,0,0,0,-,-,27.54,314.13,
31/10/2023,Fave,0.11,10.38,0,0,0,0,-,-,0.11,10.38,
31/10/2023,Federal Bank Apps,5.89,720.68,0,0,0,0,-,-,5.89,720.68,
31/10/2023,Fino Payments bank Apps,0.27,20.01,0,0,0,0,-,-,0.27,20.01,
31/10/2023,GoKiwi,0.76,79.21,0,0,0,0,-,-,0.76,79.21,
31/10/2023,Google Pay,"4,139.92","589,299.18",0,0,0,0,-,-,"4,139.92","589,299.18",
31/10/2023,Groww,5.89,"3,354.83",0,0,0,0,-,-,5.89,"3,354.83",
31/10/2023,HDFC Bank Apps,21.35,"5,453.76",0,0,0,0,-,-,21.35,"5,453.76",
31/10/2023,HSBC Bank Apps,0.18,105.98,0,0.08,0,0,-,-,0.18,106.07,
31/10/2023,ICICI Bank Apps,27.54,"11,273.30",4.82,437.19,6.52,"9,607.29",-,-,38.88,"21,317.78",
31/10/2023,IDBI Bank Apps,0.07,36.89,0,0,0,0,-,-,0.07,36.89,
31/10/2023,IDFC Bank Apps,5.26,"1,312.45",0,0,0,0.01,-,-,5.26,"1,312.46",
31/10/2023,India Post Payments Bank Apps,5.54,464.95,0,0,0,0,-,-,5.54,464.95,
31/10/2023,Indian Bank Apps,0.36,90.37,0,0,0,20.56,-,-,0.36,110.93,
31/10/2023,Indian Overseas Bank Apps,0.09,23.85,0,0,0,0,-,-,0.09,23.85,
31/10/2023,IndusInd Bank Apps,1.07,217.98,0,0,0,0,-,-,1.07,217.98,
31/10/2023,Jammu and Kashmir Bank Apps,0.01,3.39,0,0,0,0,-,-,0.01,3.39,
31/10/2023,Jio Payments Bank Apps,1.35,112.84,0,0,0,0,-,-,1.35,112.84,
31/10/2023,Jupiter,4.45,571.06,0,0,0,0,-,-,4.45,571.06,
31/10/2023,Karnataka Bank Apps,0.69,138.58,0,0,0,0,-,-,0.69,138.58,
31/10/2023,Karur Vysya Bank Apps,0.04,16.95,0,0,0,0,-,-,0.04,16.95,
31/10/2023,Kotak Mahindra Bank Apps,23.83,"4,205.76",0,0,0,0,-,-,23.83,"4,205.77",
31/10/2023,MakeMyTrip,0.04,21.47,0,0,0,0,-,-,0.04,21.47,
31/10/2023,Mobikwik,4.43,"1,378.88",0,0,0,0,-,-,4.43,"1,378.88",
31/10/2023,Mobikwik PPI,0.02,2.15,0,0,0,0,-,-,0.02,2.15,
31/10/2023,Navi,0.53,33.92,0,0,0,0,-,-,0.53,33.92,
31/10/2023,NSDL Payments Bank Apps,0.04,5.79,0,0,0,0,-,-,0.04,5.79,
31/10/2023,Omnicard PPI,1.2,45.9,0,0,0,0,-,-,1.2,45.9,
31/10/2023,Paytm Payments Bank App,"1,417.81","167,819.30",3.36,6.88,0.74,"1,244.89",122.51,"23,903.73","1,544.41","192,974",
30/11/2023,PhonePe,5281.68,"854,939.06",0,0,0,0,-,-,5281.68,"854,939.06",
30/11/2023,Google Pay,4099.08,"599,748.64",0,0,0,0,-,-,4099.08,"599,748.64",
30/11/2023,Paytm Payments Bank App,1360.45,"166,257.62",4.68,8,0.73,1314.75,113.61,23569.92,1479.47,"191,150.29",
30/11/2023,Cred,93.31,"34,541.32",0,0,0,0,-,-,93.31,"34,541.32",
30/11/2023,Axis Bank Apps,11.52,"2,305.08",54.43,1453.3,0.07,7.27,-,-,66.02,"3,765.68",
30/11/2023,Amazon Pay,48.62,"5,737.75",0,0,0,0,-,-,48.62,"5,737.75",
30/11/2023,ICICI Bank Apps,27.41,"11,134.92",4.79,456.4,8.55,12088.53,-,-,40.75,"23,679.82",
30/11/2023,Fampay,28.43,336.92,0,0,0,0,-,-,28.43,336.92,
30/11/2023,Yes Bank Apps,25.77,"11,004.32",0,0,0.28,66.93,-,-,26.06,"11,071.25",
30/11/2023,Kotak Mahindra Bank Apps,23.88,"4,341.61",0,0,0,0,-,-,23.88,"4,341.61",
30/11/2023,BHIM,23.49,"7,957.46",0,0,0,0,-,-,23.49,"7,957.46",
30/11/2023,WhatsApp,22.29,"1,917.47",0,0,0,0,-,-,22.29,"1,917.47",
30/11/2023,HDFC Bank Apps,20.68,"5,511.35",0,0,0,0,-,-,20.68,"5,511.35",
30/11/2023,Bajaj Finserv,15.95,"2,406.06",0,0,0,0,-,-,15.95,"2,406.06",
30/11/2023,Airtel Payments Bank Apps,11.06,795.35,0,0,0,0,0.28,31.71,11.34,827.06,
30/11/2023,Samsung Pay,5.84,557.36,0,0,0,0,-,-,5.84,557.36,
30/11/2023,Federal Bank Apps,5.51,698.05,0,0,0,0.01,-,-,5.51,698.06,
30/11/2023,State Bank of India Apps,5.36,"2,162.43",0,0,0.02,0.66,-,-,5.38,"2,163.09",
30/11/2023,India Post Payments Bank Apps,5.27,532.66,0,0,0,0,-,-,5.27,532.66,
30/11/2023,IDFC Bank Apps,4.96,"1,306.91",0,0,0,0,-,-,4.96,"1,306.91",
30/11/2023,Groww,4.59,"2,528.81",0,0,0,0,-,-,4.59,"2,528.81",
30/11/2023,Mobikwik,4.52,"1,467.04",0,0,0,0,-,-,4.52,"1,467.04",
30/11/2023,Standard Chartered Bank Apps,3.82,262.18,0,0,0.57,244.75,-,-,4.39,506.93,
30/11/2023,Jupiter,4.29,577.81,0,0,0,0,-,-,4.29,577.81,
30/11/2023,Deutsche Bank Apps,3.26,268.83,0,0,0,0.02,-,-,3.26,268.85,
30/11/2023,Canara Bank Apps,2.29,667.04,0,0,0,0,-,-,2.29,667.04,
30/11/2023,RBL Bank Apps,1.85,621.67,0,0,0.37,18.3,-,-,2.23,639.97,
30/11/2023,slice,1.58,359.47,0,0,0,0,-,-,1.58,359.47,
30/11/2023,Jio Payments Bank Apps,1.26,117.05,0,0,0,0,-,-,1.26,117.05,
30/11/2023,Omnicard,1.09,37.85,0,0,0,0,-,-,1.09,37.85,
30/11/2023,Punjab National Bank Apps,1.04,214.29,0,0,0,0,-,-,1.04,214.29,
30/11/2023,Union Bank Apps,0.95,376.07,0,0,0,0,-,-,0.95,376.07,
30/11/2023,Bank of Baroda Apps,0.95,412.54,0,0,0,7.13,-,-,0.95,419.67,
30/11/2023,IndusInd Bank Apps,0.9,193.07,0,0,0,0,-,-,0.9,193.07,
30/11/2023,GoKiwi,0.76,93.99,0,0,0,0,-,-,0.76,93.99,
30/11/2023,SLICE,0.69,27.42,0,0,0,0,-,-,0.69,27.42,
30/11/2023,Karnataka Bank Apps,0.68,138.91,0,0,0,0.01,-,-,0.68,138.92,
30/11/2023,AU Small Finance Bank Apps,0.66,239.22,0,0,0,0,-,-,0.66,239.22,
30/11/2023,Navi,0.6,37.44,0,0,0,0,-,-,0.6,37.44,
30/11/2023,DBS Digibank Apps,0.52,196.26,0,0,0,0.61,-,-,0.52,196.87,
30/11/2023,Central Bank of India Apps,0.51,117.17,0,0,0,0.27,-,-,0.51,117.44,
30/11/2023,Indian Bank Apps,0.36,89.84,0,0,0,4.1,-,-,0.36,93.94,
30/11/2023,Fino Payments bank Apps,0.27,25,0,0,0,0,-,-,0.27,25,
30/11/2023,UCO Bank Apps,0.26,81.93,0,0,0,0,-,-,0.26,81.93,
30/11/2023,Bajaj Pay Wallet,0.26,62.02,0,0,0,0,-,-,0.26,62.02,
30/11/2023,South Indian Bank Apps,0.25,74.07,0,0,0,0,-,-,0.25,74.07,
30/11/2023,Bank of India Apps,0.24,88.76,0,0,0,0,-,-,0.24,88.76,
30/11/2023,HSBC Bank Apps,0.18,110.45,0,0.1,0,0,-,-,0.18,110.56,
30/11/2023,INDIE - Indus Ind,0.16,30.77,0,0,0,0,-,-,0.16,30.77,
30/11/2023,Tamilnad Mercantile Bank Apps,0.1,29.13,0,0,0,0,-,-,0.1,29.13,
31/12/2023,PhonePe,5642.66,"9,01,006.65",0,0,0,0,0,0,5642.66,"9,01,006.65",
31/12/2023,Google Pay,4375.29,"6,29,285.36",0,0,0,0,0,0,4375.29,"6,29,285.36",
31/12/2023,Paytm Payments Bank App,1442.58,"1,65,694.96",4.38,8.39,0.75,1342.34,125.89,"24,510.03",1573.61,"1,91,555.71",
31/12/2023,Cred,105.31,"37,293.27",0,0,0,0,0,0,105.31,"37,293.27",
31/12/2023,Axis Bank Apps,13.29,"2,657.21",73.58,3439.12,0.03,3.68,0,0,86.9,"6,100.01",
31/12/2023,Amazon Pay,54.16,"5,982.84",0,0,0,0,0,0,54.16,"5,982.84",
31/12/2023,ICICI Bank Apps,28.73,"11,167.31",4.46,534.86,6.9,9182.39,0,0,40.09,"20,884.56",
31/12/2023,Fampay,34.23,392.53,0,0,0,0,0,0,34.23,392.53,
31/12/2023,Yes Bank Apps,27.99,"12,305.58",0,0,0.37,63.28,0,0,28.37,"12,368.87",
31/12/2023,Kotak Mahindra Bank Apps,26.36,"4,738.20",0,0,0,0,0,0,26.36,"4,738.20",
31/12/2023,WhatsApp,25.25,"2,113.01",0,0,0,0,0,0,25.25,"2,113.01",
31/12/2023,BHIM,24.3,"8,431.47",0,0,0,0,0,0,24.3,"8,431.47",
31/12/2023,HDFC Bank Apps,23.68,"6,095.52",0,0,0,0.03,0,0,23.68,"6,095.54",
31/12/2023,Bajaj Finserv,18.08,"2,580.43",0,0,0,0,0,0,18.08,"2,580.43",
31/12/2023,Airtel Payments Bank Apps,12.26,851.64,0,0,0,0,0.28,31.71,12.54,883.36,
31/12/2023,Groww,6.58,"4,039.81",0,0,0,0,0,0,6.58,"4,039.81",
31/12/2023,State Bank of India Apps,6.13,"2,362.05",0,0,0.03,0.85,0,0,6.16,"2,362.90",
31/12/2023,Samsung Pay,6.08,557.26,0,0,0,0,0,0,6.08,557.26,
31/12/2023,Federal Bank Apps,5.95,745.4,0,0,0,0.01,0,0,5.95,745.41,
31/12/2023,IDFC Bank Apps,5.24,"1,306.50",0,0,0,0,0,0,5.24,"1,306.50",
31/12/2023,Mobikwik,4.95,"1,580.30",0,0,0,0,0,0,4.95,"1,580.30",
31/12/2023,India Post Payments Bank Apps,4.87,454.5,0,0,0,0,0,0,4.87,454.5,
31/12/2023,Jupiter,4.86,656.67,0,0,0,0,0,0,4.86,656.67,
31/12/2023,Deutsche Bank Apps,3.71,223.34,0,0,0,0.03,0,0,3.71,223.36,
31/12/2023,Standard Chartered Bank Apps,3.17,249.27,0,0,0.47,157.36,0,0,3.63,406.63,
31/12/2023,Canara Bank Apps,2.55,719.5,0,0,0,0,0,0,2.55,719.5,
31/12/2023,RBL Bank Apps,1.93,697.43,0,0.01,0.21,55.79,0,0,2.14,753.23,
31/12/2023,slice,1.96,403.07,0,0,0,0,0,0,1.96,403.07,
31/12/2023,Jio Payments Bank Apps,1.35,125.06,0,0,0,0,0,0,1.35,125.06,
31/12/2023,Punjab National Bank Apps,1.26,276.47,0,0,0,0,0,0,1.26,276.47,
31/12/2023,Omnicard,1.16,36.26,0,0,0,0,0,0,1.16,36.26,
31/12/2023,Bank of Baroda Apps,1.05,453.4,0,0,0,10.68,0,0,1.05,464.08,
31/12/2023,IndusInd Bank Apps,1.05,203.58,0,0,0,0,0,0,1.05,203.58,
31/12/2023,Union Bank Apps,1.02,405.74,0,0,0,0,0,0,1.02,405.74,
31/12/2023,SLICE,0.95,32.65,0,0,0,0,0,0,0.95,32.65,
31/12/2023,DBS Digibank Apps,0.78,245.47,0,0,0,1.47,0,0,0.79,246.94,
31/12/2023,GoKiwi,0.77,104.27,0,0,0,0,0,0,0.77,104.27,
31/12/2023,Karnataka Bank Apps,0.72,144.87,0,0,0,0.01,0,0,0.72,144.89,
31/12/2023,Navi,0.69,43.86,0,0,0,0,0,0,0.69,43.86,
31/12/2023,AU Small Finance Bank Apps,0.68,252.89,0,0,0,0,0,0,0.68,252.89,
31/12/2023,Central Bank of India Apps,0.58,136.84,0,0,0,0,0,0,0.58,136.84,
31/12/2023,Indian Bank Apps,0.4,98.27,0,0,0,8.79,0,0,0.4,107.06,
31/12/2023,Shriram One,0.33,19.47,0,0,0,0,0,0,0.33,19.47,
31/12/2023,Bajaj Pay Wallet,0.32,72.38,0,0,0,0,0,0,0.32,72.38,
31/12/2023,South Indian Bank Apps,0.3,86.96,0,0,0,0,0,0,0.3,86.96,
31/12/2023,Bank of India Apps,0.29,103.82,0,0,0,0,0,0,0.29,103.82,
31/12/2023,UCO Bank Apps,0.29,94.81,0,0,0,0,0,0,0.29,94.81,
31/12/2023,Mobikwik,0.28,38.53,0,0,0,0,0,0,0.28,38.53,
31/12/2023,Fino Payments bank Apps,0.27,26.7,0,0,0,0,0,0,0.27,26.7,
31/12/2023,INDIE - Indus Ind,0.2,35.32,0,0,0,0,0,0,0.2,35.32,
31/01/2024,PhonePe,5734.54,"9,06,793.76",0,0,0,0,0,0,5734.54,"9,06,793.76",
31/01/2024,Google Pay,4442.86,"6,35,945.58",0,0,0,0,0,0,4442.86,"6,35,945.58",
31/01/2024,Paytm Payments Bank App,1442.41,"1,64,333.33",3.98,8.32,0.72,1291.06,122.53,"26,982.03",1569.63,"1,92,614.74",
31/01/2024,Cred,108.86,"38,229.82",0,0,0,0,0,0,108.86,"38,229.82",
31/01/2024,Axis Bank Apps,13.31,"2,775.63",66.84,2943.22,0.02,2.72,0,0,80.17,"5,721.57",
31/01/2024,Amazon Pay,59.48,"6,288.95",0,0,0,0,0,0,59.48,"6,288.95",
31/01/2024,ICICI Bank Apps,28.93,"12,995.05",4.68,527.09,7.01,10593.84,0,0,40.62,"24,115.98",
31/01/2024,FAM,36.62,418.33,0,0,0,0,0,0,36.62,418.33,
31/01/2024,HDFC Bank Apps,25.05,"5,458.04",5.92,17.83,0,0.08,0,0,30.98,"5,475.95",
31/01/2024,BHIM,29.98,"8,778.61",0,0,0,0,0,0,29.98,"8,778.61",
31/01/2024,Kotak Mahindra Bank Apps,28.24,"4,981.01",0,0,0,0,0,0,28.24,"4,981.01",
31/01/2024,WhatsApp,26.08,"2,132.83",0,0,0,0,0,0,26.08,"2,132.83",
31/01/2024,Yes Bank Apps,23.01,"11,585.54",0,0,0.27,33.23,0,0,23.28,"11,618.77",
31/01/2024,Bajaj Finserv,19.87,"2,737.66",0,0,0,0,0,0,19.87,"2,737.66",
31/01/2024,Airtel Payments Bank Apps,13.24,902.32,0,0,0,0.08,0,0.03,13.24,902.43,
31/01/2024,Groww,9.41,"6,540.35",0,0,0,0,0,0,9.41,"6,540.35",
31/01/2024,State Bank of India Apps,6.1,"2,425.87",0,0,0.03,0.87,0,0,6.13,"2,426.73",
31/01/2024,Samsung Pay,5.73,518.32,0,0,0,0,0,0,5.73,518.32,
31/01/2024,IDFC Bank Apps,5.47,"1,448.50",0,0,0,0,0,0,5.47,"1,448.50",
31/01/2024,Federal Bank Apps,5.33,674.05,0,0,0,0,0,0,5.33,674.05,
31/01/2024,Mobikwik,5.19,"1,625.48",0,0,0,0,0,0,5.19,"1,625.48",
31/01/2024,Jupiter,4.97,665.54,0,0,0,0,0,0,4.97,665.54,
31/01/2024,India Post Payments Bank Apps,4.69,461.95,0,0,0,0,0,0,4.69,461.95,
31/01/2024,Deutsche Bank Apps,3.89,294.6,0,0,0,0.03,0,0,3.89,294.63,
31/01/2024,Standard Chartered Bank Apps,2.61,195.77,0,0,1.07,550.69,0,0,3.68,746.46,
31/01/2024,RBL Bank Apps,3.15,739.53,0,0.03,0.2,46.97,0,0,3.35,786.52,
31/01/2024,Canara Bank Apps,2.62,758.31,0,0,0,0,0,0,2.62,758.31,
31/01/2024,slice,2.01,407.98,0,0,0,0,0,0,2.01,407.98,
